Name,Latitude,Longitude,Bot_Depth,Chl_su,PAR_su,SST_su,Chl_au,PAR_au,SST_au,Chl_win,PAR_win,SST_win,Chl_sp,PAR_sp,SST_sp
St2493,20.791666,115.625,-234,0.123750001,44.65050125,29.44999504,0.177599996,28.14084053,26.53607368,0.323839992,26.19483948,23.28866005,0.136859998,43.05017853,26.4636364
St2494,20.791666,115.791664,-272,0.135900006,44.70949936,29.43565178,0.171939999,28.25272942,26.60133743,0.321960002,26.2895298,23.35033798,0.143289998,43.02888107,26.52890015
St2495,20.791666,116.041664,-280,0.122900002,45.41521072,29.4040947,0.154200003,28.30051041,26.71178246,0.318760008,26.69249916,23.57266426,0.14508,44.05355835,26.60922623
St2496,20.791666,116.208336,-395,0.121550001,44.94332886,29.44138908,0.179110005,28.02516937,26.69457054,0.306659997,26.60631943,23.61856461,0.148929998,44.5628891,26.72254181
St2497,20.791666,116.375,-340,0.12212,45.58583069,29.43708611,0.175009996,28.22805977,26.77202606,0.313349992,26.47122002,23.6321907,0.148870006,44.62186813,26.60062027
St2498,20.791666,116.625,-185,0.17757,45.58346939,29.2405777,0.222139999,28.3035202,26.61854935,0.316579998,26.83719063,23.60493851,0.210429996,44.77679062,26.60635757
St2499,20.791666,116.791664,-200,1.299999952,46.02344131,29.49302673,1.214169979,28.27059937,26.68237877,1.507159948,26.77700043,23.60493851,1.34375,45.44075012,26.61209488
St2500,20.791666,117.041664,-295,0.151030004,45.56121826,29.28002167,0.184929997,28.14933968,26.89466476,0.345889986,27.19058037,23.6321907,0.173730001,45.29845047,26.65225601
St2501,20.791666,117.208336,-407,0.13459,45.56515121,29.3416996,0.181020007,28.2652092,26.9097271,0.315979987,27.60037994,23.83730507,0.138530001,45.38936996,26.75911713
St2502,20.791666,117.375,-730,0.120070003,45.73110962,29.38903427,0.169929996,28.24838066,26.78637123,0.312449992,27.5479908,23.91189384,0.128800005,45.09719086,26.80788612
St2503,20.791666,117.625,-809,0.103519998,46.02687073,29.46792412,0.180840001,28.71570015,27.02949524,0.293460011,27.40781975,24.02233887,0.121179998,45.25867081,26.91761589
St2504,20.791666,117.791664,-1290,0.109520003,46.15604019,29.45501518,0.15411,28.8696804,27.08400154,0.290509999,27.60758018,24.03668404,0.122819997,45.56478119,27.03092957
St2505,20.791666,118.041664,-1744,0.103469998,45.95013046,29.49804688,0.158720002,28.93523026,27.10982132,0.292860001,27.72957039,24.1112709,0.107419997,45.02204895,27.22457123
